Insulation,Temperature,Avg_Age,Home_Size,Predicted_Heating_Oil
8,88,17.7,2,126.0
6,83,70.5,4,235.0
3,73,57.5,6,213.0
7,80,64.0,2,222.0
5,81,63.5,8,232.0
10,67,34.4,8,202.0
3,40,35.3,3,187.0
2,56,64.5,4,232.0
6,57,30.1,7,185.0
9,73,22.6,6,164.0
7,63,60.9,6,242.0
5,47,40.6,5,205.0
3,82,58.5,4,202.0
2,73,59.7,7,217.0
4,90,50.8,2,177.0
7,80,22.0,4,144.0
6,77,35.7,8,183.0
5,49,59.3,3,234.0
2,74,40.5,4,169.0
8,86,71.8,5,245.0
4,48,31.5,7,188.0
3,86,51.1,3,181.0
3,77,47.9,7,194.0
10,74,72.9,3,258.0
4,41,18.6,1,150.0
5,64,35.6,6,184.0
6,41,56.0,4,241.0
6,59,33.8,2,175.0
8,59,51.0,3,220.0
3,56,24.3,8,167.0
6,90,56.2,7,210.0
2,89,32.0,1,131.0
7,87,58.6,7,221.0
9,68,43.5,2,198.0
9,79,53.4,3,211.0
2,69,24.6,1,132.0
4,65,44.5,4,191.0
2,50,60.4,2,222.0
6,41,21.1,8,183.0
3,89,72.7,8,237.0
5,70,28.7,2,153.0
9,64,26.5,8,185.0
4,76,20.5,1,125.0
8,42,41.6,2,212.0
2,49,63.5,3,232.0
2,78,63.2,2,205.0
4,88,57.1,1,189.0
9,48,42.5,5,221.0
10,50,20.9,4,177.0
6,75,71.5,5,247.0
10,40,45.0,3,230.0
5,55,31.7,4,177.0
4,65,27.5,8,169.0
6,84,31.8,3,154.0
7,76,17.9,2,133.0
6,75,68.3,8,249.0
9,48,65.9,4,265.0
8,87,61.3,5,223.0
2,70,24.6,7,150.0
4,72,41.0,1,169.0
2,49,17.4,1,134.0
2,66,47.8,6,196.0
9,43,60.7,1,249.0
2,55,61.4,4,226.0
6,55,55.8,3,226.0
7,84,18.5,2,128.0
4,81,57.2,8,216.0
8,38,54.0,8,258.0
6,82,25.2,4,146.0
7,78,31.6,5,168.0
10,48,68.9,5,277.0
3,73,19.8,7,141.0
9,90,72.5,7,253.0
9,46,61.2,6,263.0
4,65,62.2,1,217.0
6,46,70.0,7,274.0
10,88,17.7,4,139.0
10,52,31.3,7,205.0
10,51,17.3,8,181.0
6,74,57.9,5,220.0
10,58,16.4,5,164.0
3,54,37.1,3,179.0
2,49,38.3,8,197.0
7,74,68.7,2,236.0
2,79,56.2,4,196.0
9,88,64.9,6,236.0
8,56,41.4,3,203.0
8,39,17.1,2,165.0
4,60,70.8,8,260.0
3,45,43.3,4,202.0
8,46,58.9,8,261.0
2,44,62.4,5,240.0
4,79,24.3,3,136.0
10,68,34.9,4,190.0
8,49,70.9,8,283.0
6,89,18.3,1,117.0
8,57,70.5,4,263.0
9,75,42.8,2,190.0
6,55,19.0,7,164.0
2,90,35.8,8,159.0
2,67,38.3,3,167.0
8,51,56.9,7,250.0
10,69,57.4,4,234.0
5,46,40.7,8,215.0
7,57,47.0,1,204.0
2,38,35.4,2,182.0
2,50,42.4,3,190.0
4,71,60.0,6,223.0
2,70,31.6,8,167.0
10,90,25.4,8,165.0
2,84,64.5,1,200.0
2,88,46.6,7,179.0
7,38,32.0,8,211.0
5,74,44.0,3,183.0
5,88,59.1,5,208.0
10,38,33.1,2,205.0
3,43,66.2,6,255.0
4,82,36.4,6,167.0
8,54,44.5,7,223.0
8,69,42.8,3,195.0
6,44,32.6,5,194.0
8,64,28.5,2,168.0
3,40,62.2,8,256.0
10,83,30.1,4,168.0
5,47,44.5,4,209.0
5,64,51.0,4,208.0
3,88,32.0,5,147.0
8,67,38.0,6,196.0
6,57,53.2,5,225.0
2,50,47.5,2,197.0
8,81,55.6,3,211.0
8,75,53.8,6,221.0
5,58,61.9,5,238.0
5,65,20.7,6,153.0
6,46,57.6,6,246.0
3,64,42.3,4,184.0
4,61,30.4,1,157.0
10,52,26.8,7,196.0
6,60,26.7,4,167.0
2,85,41.4,5,165.0
2,75,53.4,1,185.0
5,72,67.7,1,226.0
6,51,68.4,6,263.0
4,76,70.1,6,239.0
6,38,66.7,3,261.0
10,69,61.9,5,246.0
8,44,38.5,5,213.0
3,72,57.3,7,217.0
5,62,72.0,6,258.0
10,48,70.3,3,274.0
2,75,28.2,5,147.0
8,57,42.5,3,204.0
4,83,40.1,5,171.0
10,86,15.7,5,140.0
4,54,30.9,1,164.0
9,73,51.3,8,227.0
4,56,72.4,1,245.0
9,51,27.5,8,198.0
7,40,68.5,5,273.0
6,67,62.5,8,244.0
10,51,23.0,5,183.0
7,83,48.2,6,200.0
9,46,36.2,5,210.0
4,66,54.8,6,217.0
6,51,65.0,7,259.0
3,45,53.4,2,216.0
2,44,50.0,7,222.0
5,82,35.0,2,156.0
3,88,55.2,2,184.0
10,86,60.6,2,220.0
10,45,56.2,8,263.0
5,49,47.8,2,208.0
5,60,44.5,2,193.0
2,57,58.3,5,222.0
9,62,63.7,5,252.0
10,81,16.3,3,139.0
2,78,20.7,4,126.0
4,59,67.4,5,245.0
6,44,40.0,5,209.0
9,44,27.1,2,184.0
4,57,52.5,4,214.0
10,85,27.4,6,167.0
3,55,72.1,1,242.0
6,44,67.3,5,264.0
3,49,37.3,2,181.0
5,58,56.7,3,222.0
5,71,37.1,6,181.0
7,45,60.6,7,259.0
3,76,44.0,4,178.0
4,84,44.8,4,176.0
9,40,18.4,8,189.0
3,62,20.3,1,133.0
4,40,20.3,7,172.0
4,50,32.8,3,177.0
6,59,36.0,5,189.0
2,60,54.5,6,215.0
10,43,36.7,2,208.0
10,39,58.6,6,267.0
8,66,46.5,1,199.0
3,87,53.0,8,199.0
7,69,66.8,4,243.0
10,69,43.3,5,209.0
7,60,40.5,7,207.0
10,72,39.6,2,190.0
3,61,58.3,6,225.0
8,65,35.7,1,178.0
8,51,20.5,5,171.0
8,71,25.7,4,162.0
9,85,56.8,8,228.0
7,55,58.2,6,243.0
7,56,69.9,1,250.0
8,44,31.8,7,206.0
8,67,34.6,4,183.0
10,44,43.4,4,226.0
3,66,35.8,8,182.0
5,80,23.1,8,152.0
3,40,45.7,7,220.0
5,79,40.7,8,188.0
5,43,41.0,4,206.0
3,67,68.0,4,233.0
9,67,38.4,7,203.0
3,38,30.5,5,185.0
2,83,17.9,7,126.0
9,48,62.5,4,258.0
6,53,36.2,6,197.0
6,55,53.2,1,214.0
5,48,29.5,6,185.0
5,74,37.4,8,185.0
6,49,53.4,4,229.0
3,59,40.5,6,191.0
3,71,27.4,8,161.0
9,43,51.4,3,237.0
2,62,34.4,1,158.0
3,78,62.1,8,225.0
4,52,39.3,8,204.0
10,81,24.3,7,167.0
2,72,22.5,8,147.0
6,77,46.1,3,188.0
3,42,50.5,2,213.0
4,57,28.2,2,159.0
9,67,54.1,1,217.0
8,85,66.1,5,235.0
10,42,45.0,1,222.0
3,52,43.3,6,202.0
6,64,47.1,1,195.0
4,83,33.1,4,154.0
7,47,67.6,3,259.0
4,46,68.9,7,265.0
5,43,66.2,6,262.0
6,42,49.4,6,233.0
4,44,21.9,5,166.0
4,72,48.5,8,206.0
4,90,15.1,3,109.0
8,46,21.0,5,176.0
6,52,71.2,2,256.0
9,79,48.3,4,204.0
5,79,72.4,1,230.0
8,66,18.3,1,143.0
6,77,27.7,3,152.0
7,72,59.4,4,225.0
10,54,31.0,7,203.0
7,42,26.9,4,185.0
9,48,16.5,2,160.0
6,38,70.2,7,280.0
7,38,55.3,1,236.0
7,49,28.4,1,173.0
8,79,46.9,5,201.0
10,90,24.5,4,151.0
9,61,42.1,8,219.0
7,52,49.5,2,216.0
4,58,21.2,4,150.0
7,60,69.5,3,252.0
10,74,58.1,1,222.0
9,69,41.4,3,196.0
9,52,51.8,3,230.0
6,62,54.3,5,223.0
8,38,37.0,2,206.0
5,50,35.0,6,194.0
3,69,17.4,1,121.0
4,45,69.4,3,254.0
3,47,69.1,1,243.0
3,52,65.3,6,246.0
2,52,20.3,5,150.0
3,41,57.6,3,231.0
5,79,35.8,8,178.0
8,89,35.3,3,164.0
4,42,29.0,8,191.0
10,46,27.1,3,189.0
6,90,26.0,7,150.0
3,55,53.5,1,205.0
9,89,26.8,4,153.0
5,58,65.7,2,237.0
4,56,72.5,8,267.0
4,86,21.1,3,124.0
10,90,23.6,1,140.0
9,56,56.5,2,233.0
8,58,61.9,3,242.0
8,74,37.4,3,180.0
7,83,27.3,1,143.0
7,90,55.4,8,215.0
9,53,70.9,4,271.0
6,89,15.2,4,120.0
2,58,64.8,7,240.0
3,59,48.6,6,207.0
3,88,41.5,5,166.0
9,47,19.3,7,182.0
3,57,33.6,6,179.0
2,75,71.7,8,243.0
3,61,18.7,8,152.0
5,50,67.0,1,243.0
7,65,19.5,6,158.0
4,67,38.0,1,168.0
6,42,46.0,7,229.0
2,67,60.4,3,212.0
10,41,27.6,8,209.0
8,41,56.3,3,245.0
8,87,24.2,7,155.0
7,45,16.4,3,159.0
8,74,43.1,7,204.0
7,70,30.8,4,170.0
5,53,23.5,1,153.0
3,72,28.6,2,144.0
3,58,22.1,4,149.0
9,73,19.2,1,142.0
2,51,28.6,3,161.0
3,87,62.2,4,205.0
4,74,33.9,7,172.0
6,62,51.2,2,208.0
4,74,72.6,1,231.0
7,67,49.1,2,203.0
4,71,68.9,5,238.0
9,67,69.6,7,266.0
6,87,70.4,6,238.0
7,48,45.4,5,220.0
9,84,50.1,1,195.0
6,50,17.2,4,156.0
3,61,41.5,2,179.0
4,66,69.2,7,249.0
2,70,43.2,4,178.0
2,85,37.9,8,167.0
10,66,56.3,7,243.0
9,84,64.7,5,236.0
10,57,46.9,1,214.0
9,60,64.2,2,245.0
8,78,61.5,8,240.0
6,70,32.6,1,161.0
7,82,55.8,7,219.0
3,38,60.2,2,235.0
3,39,71.2,7,272.0
7,69,54.6,3,215.0
9,49,59.0,7,259.0
6,90,24.0,3,134.0
3,87,34.6,5,153.0
7,42,60.1,8,263.0
8,63,45.7,5,212.0
2,83,56.8,1,185.0
6,70,65.3,3,232.0
5,74,43.4,7,194.0
2,76,18.1,5,126.0
7,80,28.0,8,168.0
7,41,64.1,2,254.0
5,50,30.8,1,170.0
9,70,45.0,8,217.0
3,40,44.6,5,212.0
10,54,24.1,5,183.0
3,50,62.9,3,234.0
4,73,42.3,8,192.0
3,69,45.7,5,190.0
4,57,55.7,3,217.0
6,49,55.5,1,224.0
5,81,52.6,6,204.0
7,73,36.5,2,173.0
2,70,45.6,5,186.0
9,63,23.6,5,171.0
3,43,69.6,8,268.0
8,77,24.9,2,150.0
10,84,63.8,6,241.0
2,44,23.5,2,154.0
10,65,52.5,4,227.0
7,50,27.5,4,180.0
4,62,61.6,2,222.0
3,60,30.3,1,155.0
6,52,57.1,2,228.0
3,70,17.6,2,124.0
2,90,64.1,6,209.0
9,64,45.2,2,204.0
3,41,45.0,1,199.0
10,49,49.5,7,244.0
4,43,43.8,8,220.0
3,90,25.6,2,124.0
6,90,67.9,8,236.0
6,66,53.7,7,225.0
3,67,32.5,3,159.0
10,43,54.5,6,255.0
3,85,53.9,2,184.0
8,79,52.9,4,210.0
5,71,63.2,7,236.0
10,43,42.8,7,235.0
9,43,59.2,1,246.0
10,67,54.9,3,228.0
6,89,59.4,2,202.0
10,75,24.1,5,166.0
8,90,48.0,1,182.0
10,53,59.3,4,251.0
5,42,26.0,2,170.0
8,71,66.1,1,234.0
9,42,53.1,1,235.0
7,63,51.0,6,222.0
6,68,53.5,2,207.0
7,68,53.8,8,230.0
3,61,58.6,2,213.0
5,76,22.4,1,132.0
7,39,58.9,4,251.0
2,64,54.8,6,212.0
2,54,66.3,5,240.0
5,52,46.7,2,204.0
2,46,27.8,1,158.0
5,45,22.7,7,177.0
2,40,46.5,6,215.0
4,73,55.7,3,204.0
8,58,56.4,3,231.0
6,44,21.6,3,166.0
6,60,32.3,7,187.0
8,41,44.1,3,221.0
2,43,56.0,2,219.0
8,50,19.9,4,168.0
10,84,32.8,1,163.0
9,73,37.6,5,191.0
5,49,57.9,7,244.0
10,76,19.6,7,162.0
6,47,30.5,8,197.0
8,58,57.8,7,246.0
9,50,44.6,4,221.0
9,53,53.0,5,238.0
3,44,54.2,5,227.0
8,52,51.2,5,232.0
6,86,34.6,1,152.0
2,41,61.2,8,250.0
6,87,73.0,5,240.0
6,88,39.7,7,179.0
3,73,36.2,7,174.0
2,49,62.0,2,226.0
2,60,17.5,6,141.0
4,87,17.8,4,120.0
9,70,51.3,6,224.0
2,40,61.2,5,241.0
9,39,33.4,2,201.0
6,80,39.0,7,184.0
9,90,72.0,2,237.0
3,86,62.9,6,214.0
7,46,32.8,6,200.0
3,55,31.6,2,164.0
2,63,16.5,5,133.0
5,86,35.5,1,150.0
3,71,60.1,3,211.0
10,70,40.9,3,197.0
4,82,20.0,3,125.0
9,58,31.9,2,183.0
4,38,52.4,7,238.0
7,71,68.1,8,256.0
2,84,32.9,8,158.0
8,83,27.4,3,153.0
8,69,19.6,7,161.0
2,73,48.1,4,185.0
7,62,45.4,8,218.0
3,74,22.5,4,137.0
8,52,45.4,4,217.0
2,45,58.4,7,238.0
9,71,71.3,1,248.0
9,83,27.3,7,168.0
2,73,36.5,7,171.0
6,81,61.1,7,227.0
9,53,18.0,2,159.0
6,78,64.4,3,224.0
2,77,16.3,6,124.0
4,57,18.1,8,157.0
8,79,52.3,2,203.0
2,71,19.0,1,120.0
4,63,24.3,8,165.0
4,38,58.4,8,253.0
8,50,39.2,2,200.0
4,39,45.1,7,223.0
4,68,17.5,3,132.0
7,68,30.1,5,173.0
5,85,52.1,8,206.0
6,48,24.2,5,174.0
4,65,22.9,1,139.0
2,77,47.7,8,193.0
7,63,32.4,1,170.0
4,44,27.4,6,180.0
4,49,42.4,1,191.0
4,47,18.6,1,145.0
6,62,46.3,1,195.0
6,69,47.0,8,212.0
4,40,59.5,1,233.0
4,46,15.4,7,158.0
4,63,17.4,7,148.0
7,48,44.1,1,205.0
10,39,56.0,4,256.0
5,61,45.4,7,209.0
10,44,45.8,7,240.0
4,76,33.7,8,173.0
8,51,44.4,5,219.0
9,42,41.4,2,215.0
9,88,45.5,3,188.0
10,74,20.8,5,160.0
5,52,51.7,5,223.0
8,63,63.9,8,257.0
5,63,55.6,6,224.0
6,78,53.5,3,202.0
2,79,22.1,6,134.0
8,62,47.1,7,221.0
6,61,19.2,6,157.0
10,86,47.6,5,204.0
9,55,58.2,7,253.0
5,74,67.8,7,243.0
2,63,37.6,7,181.0
7,87,57.1,3,206.0
9,61,22.2,2,161.0
4,73,19.7,1,126.0
8,83,70.5,4,242.0
4,74,68.7,1,223.0
5,84,72.6,1,226.0
9,84,56.7,8,229.0
8,70,69.0,7,259.0
7,87,17.4,4,129.0
4,54,35.9,8,195.0
2,85,65.3,2,204.0
2,88,40.5,2,152.0
5,71,20.4,8,154.0
3,66,38.0,5,177.0
4,86,65.9,2,211.0
7,86,16.7,7,138.0
4,51,15.7,2,139.0
6,43,24.7,8,189.0
7,68,15.2,1,131.0
6,54,64.6,3,244.0
9,49,72.5,5,280.0
6,85,44.6,5,185.0
3,42,50.4,6,225.0
6,48,58.6,3,237.0
5,51,69.6,2,250.0
10,69,55.5,1,221.0
7,67,24.5,6,166.0
6,56,61.4,2,233.0
4,64,17.5,7,147.0
7,88,56.0,3,203.0
2,67,58.0,3,207.0
3,52,55.8,8,233.0
3,77,71.8,7,242.0
10,67,25.9,8,185.0
9,43,54.4,1,237.0
6,50,64.2,3,247.0
6,47,69.1,3,259.0
10,76,45.1,4,204.0
10,57,44.3,5,221.0
9,88,17.1,4,135.0
8,42,63.3,6,267.0
10,61,46.4,5,222.0
10,76,31.2,8,188.0
8,83,53.1,8,219.0
3,55,51.6,2,204.0
10,84,18.5,6,150.0
9,73,41.6,3,193.0
6,54,39.9,3,195.0
5,42,42.2,3,206.0
9,76,65.7,7,251.0
2,71,51.8,1,185.0
2,66,65.4,8,238.0
3,54,56.6,3,218.0
7,50,51.8,7,237.0
8,82,28.2,3,155.0
10,84,54.3,4,216.0
2,89,55.3,6,193.0
7,76,67.4,5,241.0
6,79,64.5,2,220.0
3,54,48.6,2,199.0
9,47,62.0,5,261.0
5,73,15.1,4,129.0
5,61,68.5,2,240.0
9,56,18.1,6,169.0
4,48,67.2,7,260.0
4,53,16.1,6,150.0
5,82,22.0,2,130.0
4,84,70.5,8,240.0
8,61,44.6,3,205.0
4,66,48.3,4,198.0
5,76,48.1,2,187.0
8,75,30.6,6,175.0
5,90,22.3,7,139.0
10,64,29.1,5,185.0
4,49,31.3,6,184.0
4,51,55.4,2,218.0
8,57,39.9,8,214.0
5,61,31.4,6,178.0
3,50,69.9,7,260.0
2,61,32.2,7,172.0
2,49,36.5,5,185.0
6,84,16.4,2,120.0
6,79,25.9,5,152.0
9,45,21.0,5,181.0
3,49,42.2,3,193.0
7,57,69.6,4,258.0
7,41,25.3,7,192.0
7,89,62.5,6,224.0
5,40,28.6,2,177.0
7,42,68.5,8,280.0
10,70,16.0,1,141.0
7,65,62.4,7,246.0
9,46,69.0,1,263.0
6,46,55.6,3,233.0
8,47,25.1,8,193.0
5,71,15.0,2,125.0
2,59,72.8,4,246.0
10,53,40.1,4,212.0
2,55,53.1,2,204.0
7,46,70.4,8,281.0
4,44,52.2,8,236.0
9,57,35.6,3,194.0
3,68,16.8,8,142.0
3,75,34.2,6,165.0
7,40,15.4,5,167.0
7,87,40.4,8,187.0
5,82,43.9,2,173.0
10,69,46.6,6,218.0
7,54,17.7,6,163.0
4,65,67.9,6,244.0
2,89,71.5,2,213.0
9,59,45.2,8,227.0
4,62,60.3,2,219.0
7,88,49.9,4,193.0
6,60,64.4,2,236.0
10,69,57.4,4,234.0
3,87,55.2,3,188.0
9,87,64.0,8,241.0
10,84,23.9,1,146.0
3,73,71.6,2,229.0
4,59,28.2,7,173.0
8,73,31.3,6,178.0
6,40,59.2,1,239.0
4,56,70.9,4,251.0
3,68,54.0,4,204.0
9,49,69.8,6,278.0
7,42,23.7,7,188.0
5,80,30.8,8,167.0
2,71,25.5,8,154.0
2,86,65.8,3,207.0
2,42,25.0,5,167.0
8,58,19.2,2,154.0
9,84,70.8,4,245.0
6,67,35.9,7,188.0
2,80,15.3,5,117.0
5,45,17.6,4,157.0
2,79,43.4,7,180.0
2,60,45.6,5,194.0
7,81,68.3,6,242.0
9,60,27.1,6,184.0
4,39,56.6,3,234.0
2,86,50.7,7,189.0
10,67,28.6,8,190.0
10,51,31.5,6,203.0
10,59,63.7,3,252.0
5,82,53.9,4,200.0
4,47,23.1,6,169.0
4,44,70.4,2,254.0
8,43,52.4,5,242.0
4,63,62.9,7,239.0
7,48,59.3,5,248.0
2,89,70.4,8,229.0
9,61,19.9,1,153.0
9,57,32.5,7,200.0
6,89,50.3,5,193.0
6,70,52.9,3,208.0
6,55,68.8,8,267.0
7,78,23.9,7,159.0
5,58,50.6,8,225.0
4,71,61.3,6,226.0
5,63,32.2,4,172.0
5,70,68.5,3,235.0
2,41,29.8,8,187.0
6,73,47.6,6,204.0
9,47,45.4,2,219.0
5,69,60.6,6,230.0
6,48,50.1,8,235.0
5,77,40.1,5,179.0
7,74,35.0,6,181.0
2,77,28.1,7,151.0
4,82,64.7,7,227.0
9,77,41.7,8,205.0
3,50,22.7,2,151.0
4,72,48.2,3,190.0
7,44,54.4,8,250.0
9,82,15.5,2,130.0
4,66,45.9,8,205.0
9,63,58.0,7,246.0
8,71,45.8,3,199.0
5,60,49.1,8,220.0
3,43,33.1,8,195.0
8,68,57.7,6,235.0
5,73,66.2,6,237.0
7,86,54.0,3,200.0
7,71,53.9,1,206.0
9,75,63.9,8,251.0
10,62,47.2,4,219.0
2,74,50.2,2,182.0
7,46,56.4,7,250.0
10,90,33.0,2,162.0
3,86,46.2,4,174.0
9,69,32.3,1,171.0
4,54,63.3,6,244.0
3,77,41.5,4,172.0
4,38,35.2,8,207.0
4,77,59.9,3,209.0
9,82,16.6,1,129.0
9,70,68.7,1,243.0
9,54,69.0,2,260.0
6,71,66.4,7,246.0
6,44,20.5,2,161.0
4,80,23.1,4,136.0
3,42,23.7,7,174.0
7,43,37.3,1,196.0
9,41,30.9,1,191.0
9,48,55.9,3,242.0
9,55,18.6,3,162.0
9,75,18.5,8,160.0
2,68,20.6,4,134.0
2,68,53.6,6,206.0
9,52,36.6,5,206.0
9,59,25.0,5,177.0
3,43,51.7,5,223.0
4,40,49.5,3,219.0
10,58,62.5,8,265.0
7,54,28.9,7,188.0
9,73,71.2,7,264.0
3,56,39.6,2,179.0
6,56,35.1,7,196.0
2,45,53.1,3,215.0
8,39,15.2,7,177.0
9,76,15.3,2,135.0
9,54,72.1,8,284.0
8,89,63.5,5,226.0
5,73,36.1,7,180.0
4,48,59.3,4,235.0
9,51,18.6,8,180.0
10,42,30.2,6,208.0
8,47,26.1,5,186.0
5,83,69.8,4,230.0
3,90,64.7,8,220.0
7,82,54.5,8,220.0
2,81,24.6,8,144.0
9,65,58.9,6,243.0
9,44,25.9,4,188.0
5,52,45.6,3,204.0
7,68,40.2,6,196.0
9,84,15.1,6,140.0
5,90,46.9,7,188.0
9,38,45.5,8,244.0
9,45,63.8,1,254.0
4,65,41.0,1,175.0
6,90,62.0,3,209.0
9,48,30.6,6,200.0
8,71,69.4,5,253.0
9,83,37.6,3,177.0
5,63,34.6,3,173.0
8,64,49.4,8,227.0
4,56,66.6,8,255.0
5,69,56.0,7,223.0
5,83,34.0,3,156.0
2,57,16.9,6,142.0
8,39,66.2,6,275.0
9,43,55.4,3,245.0
4,70,43.1,1,175.0
8,43,19.8,5,176.0
2,53,51.6,1,199.0
5,62,56.5,6,227.0
10,80,42.0,4,194.0
4,66,67.1,3,233.0
6,70,53.8,4,212.0
2,73,50.4,8,202.0
8,55,66.2,1,247.0
5,63,21.7,2,145.0
8,68,18.2,8,162.0
6,42,52.5,4,233.0
10,73,42.8,7,211.0
10,68,29.6,1,170.0
9,47,16.3,1,157.0
10,69,51.1,8,234.0
6,84,59.2,3,209.0
9,52,42.7,3,212.0
10,67,36.0,6,199.0
9,65,72.0,4,263.0
10,84,67.3,2,235.0
4,53,55.1,5,225.0
6,61,72.4,1,248.0
6,50,37.3,6,202.0
10,86,55.8,3,214.0
7,90,40.9,4,174.0
4,38,43.3,5,214.0
8,80,59.7,1,214.0
9,40,54.9,1,240.0
